title,artist,genre,
We Are Never Ever Getting Back Together,Taylor Swift,pop,
Die Young,Kesha,pop,
Clarity,Zedd,complextro,
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,pop,
Under Control,Calvin Harris,pop,
Everybody Talks,Neon Trees,pop,
"Hold On, We're Going Home",Drake,hip hop,
Best Song Ever,One Direction,boy band,
Kiss You,One Direction,boy band,
Sweet Nothing (feat. Florence Welch),Calvin Harris,pop,
Lose Yourself to Dance,Daft Punk,electro,
Work Bitch,Britney Spears,pop,
Brave,Sara Bareilles,pop,
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,pop,
Feel This Moment (feat. Christina Aguilera),Pitbull,pop,
Beneath Your Beautiful,Labrinth,pop,
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,pop,
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,pop,
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,pop,
The Way,Ariana Grande,pop,
Suit & Tie,Justin Timberlake,pop,
#thatPOWER,will.i.am,pop,
I Love It (feat. Charli XCX),Icona Pop,pop,
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,pop,
Daylight,Maroon 5,pop,
Love Somebody,Maroon 5,pop,
A Little Party Never Killed Nobody (All We Got),Fergie,pop,
Move,Little Mix,pop,
Walks Like Rihanna,The Wanted,boy band,
Rock N Roll,Avril Lavigne,pop,
Heartbreaker,Justin Bieber,pop,
Mirrors - Radio Edit,Justin Timberlake,pop,
Next To Me,Emeli Sandé,pop,
Made In The USA,Demi Lovato,pop,
Clown,Emeli Sandé,pop,
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,pop,
TKO,Justin Timberlake,pop,
Come & Get It,Selena Gomez,pop,
Live It Up,Jennifer Lopez,pop,
We Own The Night,The Wanted,boy band,
Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Coldplay,permanent wave,
What About Love,Austin Mahone,pop,
Take Back the Night,Justin Timberlake,pop,
Applause,Lady Gaga,pop,
Anything Could Happen,Ellie Goulding,pop,
Finally Found You,Enrique Iglesias,pop,
Pom Poms,Jonas Brothers,boy band,
#Beautiful,Mariah Carey,pop,
How Ya Doin'? (feat. Missy Elliott),Little Mix,pop,
Crazy Kids (feat. will.i.am),Kesha,pop,
"Ooh La La (from ""The Smurfs 2"")",Britney Spears,pop,
People Like Us,Kelly Clarkson,pop,
Overdose,Ciara,pop,
Right Now - Dyro Radio Edit,Rihanna,pop,
Give It 2 U,Robin Thicke,pop,
Foolish Games,Jewel,other,
Outta Nowhere (feat. Danny Mercer),Pitbull,pop,
Freak,Kelly Rowland,hip hop,
All of Me,John Legend,neo mellow,
Stay With Me,Sam Smith,pop,
Summer,Calvin Harris,pop,
"Happy - From ""Despicable Me 2""",Pharrell Williams,pop,
Rude,MAGIC!,pop,
Shake It Off,Taylor Swift,pop,
Dark Horse,Katy Perry,pop,
Hey Brother,Avicii,big room,
Maps,Maroon 5,pop,
Treasure,Bruno Mars,pop,
Let Her Go,Passenger,pop,
Problem,Ariana Grande,pop,
Pompeii,Bastille,other,
Team,Lorde,pop,
Love Me Again,John Newman,pop,
Latch,Disclosure,other,
Adore You,Miley Cyrus,pop,
Love Never Felt So Good,Michael Jackson,pop,
Burn,Ellie Goulding,pop,
She Looks So Perfect,5 Seconds of Summer,boy band,
Fancy,Iggy Azalea,hip hop,
Talk Dirty (feat. 2 Chainz),Jason Derulo,pop,
Gorilla,Bruno Mars,pop,
human,Christina Perri,pop,
Young Girls,Bruno Mars,pop,
Wiggle (feat. Snoop Dogg),Jason Derulo,pop,
Love Runs Out,OneRepublic,pop,
This Is How We Do,Katy Perry,pop,
Mmm Yeah (feat. Pitbull),Austin Mahone,pop,
A Little Party Never Killed Nobody (All We Got),Fergie,pop,
#SELFIE,The Chainsmokers,pop,
Partition,Beyoncé,pop,
Birthday,Katy Perry,pop,
G.U.Y.,Lady Gaga,pop,
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,
"Let It Go - From ""Frozen / Single Version",Demi Lovato,pop,
Wings,Birdy,neo mellow,
Can't Remember to Forget You (feat. Rihanna),Shakira,pop,
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,pop,
Say Something,A Great Big World,neo mellow,
A Sky Full of Stars,Coldplay,permanent wave,
Come Get It Bae,Pharrell Williams,pop,
Chandelier,Sia,australian dance,
XO,Beyoncé,pop,
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,pop,
Not About Angels,Birdy,neo mellow,
Drunk in Love,Beyoncé,pop,
Anaconda,Nicki Minaj,pop,
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,pop,
La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,pop,
Tee Shirt - Soundtrack Version,Birdy,neo mellow,
Words as Weapons,Birdy,neo mellow,
You're Mine (Eternal),Mariah Carey,pop,
Sheezus,Lily Allen,pop,
Cannonball,Lea Michele,other,
It's On Again - Main Soundtrack,Alicia Keys,pop,
I Luh Ya Papi,Jennifer Lopez,pop,
Not a Bad Thing,Justin Timberlake,pop,
Thinking out Loud,Ed Sheeran,pop,
I'm Not The Only One,Sam Smith,pop,
The Hills,The Weeknd,canadian contemporary r&b,
Love Yourself,Justin Bieber,pop,
Uptown Funk,Mark Ronson,pop,
Take Me To Church,Hozier,other,
Sugar,Maroon 5,pop,
Sorry,Justin Bieber,pop,
FourFiveSeconds,Rihanna,pop,
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,pop,
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,
What Do You Mean?,Justin Bieber,pop,
Stitches,Shawn Mendes,pop,
Want to Want Me,Jason Derulo,pop,
My House,Flo Rida,pop,
Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,
Night Changes,One Direction,boy band,
How Deep Is Your Love,Calvin Harris,pop,
Never Forget You,Zara Larsson,pop,
Love Me Harder,Ariana Grande,pop,
Animals,Maroon 5,pop,
Blame,Calvin Harris,pop,
Worth It,Fifth Harmony,pop,
Break Free,Ariana Grande,pop,
Don't,Ed Sheeran,pop,
Elastic Heart,Sia,australian dance,
Rather Be (feat. Jess Glynne),Clean Bandit,pop,
Hello,Adele,british soul,
Dear Future Husband,Meghan Trainor,pop,
43776,Beyoncé,pop,
The Heart Wants What It Wants,Selena Gomez,pop,
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,pop,
Genie In a Bottle,Christina Aguilera,pop,
Company,Justin Bieber,pop,
Sing,Ed Sheeran,pop,
Jealous - Remix,Nick Jonas,pop,
Really Don't Care,Demi Lovato,pop,
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,pop,
Only Love Can Hurt Like This,Paloma Faith,british soul,
Heartbeat Song,Kelly Clarkson,pop,
Up,Olly Murs,pop,
Trumpets,Jason Derulo,pop,
Runnin' (Lose It All),Naughty Boy,tropical house,
Same Old Love,Selena Gomez,pop,
I Want You To Know,Zedd,complextro,
Lips Are Movin,Meghan Trainor,pop,
I'll Show You,Justin Bieber,pop,
Here,Alessia Cara,canadian contemporary r&b,
I Lived,OneRepublic,pop,
Fireball (feat. John Ryan),Pitbull,pop,
Easy Love,Sigala,pop,
The Feeling,Justin Bieber,pop,
I Really Like You,Carly Rae Jepsen,pop,
BO$$,Fifth Harmony,pop,
Sugar,Maroon 5,pop,
Focus,Ariana Grande,pop,
All About That Bass,Meghan Trainor,pop,
On My Mind,Ellie Goulding,pop,
Love Me Like You,Little Mix,pop,
Broken Arrows,Avicii,big room,
Booty,Jennifer Lopez,pop,
What Do You Mean? - Acoustic,Justin Bieber,pop,
Mark My Words,Justin Bieber,pop,
Lay It All on Me,Rudimental,pop,
American Oxygen,Rihanna,pop,
Bang Bang,Jessie J,pop,
Reality - Radio Edit,Lost Frequencies,edm,
Alive,Sia,australian dance,
Sugar (feat. Francesco Yates),Robin Schulz,pop,
Been You,Justin Bieber,pop,
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,pop,
See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,
Heroes (we could be),Alesso,big room,
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,pop,
Perfect,One Direction,boy band,
Ghosttown,Madonna,pop,
Bang My Head (feat. Sia & Fetty Wap),David Guetta,pop,
Bloodstream,Ed Sheeran,pop,
Living For Love,Madonna,pop,
Baby Don't Lie,Gwen Stefani,pop,
Don't Be so Hard on Yourself,Jess Glynne,pop,
Steal My Girl,One Direction,boy band,
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,pop,
We Are Here,Alicia Keys,pop,
St Jude,Florence + The Machine,pop,
Yesterday (feat. Bebe Rexha),David Guetta,pop,
Time of Our Lives,Pitbull,pop,
Sparks,Hilary Duff,pop,
Mr. Put It Down,Ricky Martin,pop,
Legendary Lovers,Katy Perry,pop,
Spark The Fire,Gwen Stefani,pop,
Run Run Run,Kelly Clarkson,pop,
Let Me Be Your Lover,Enrique Iglesias,pop,
Dangerous,Jennifer Hudson,pop,
L.A.LOVE (la la),Fergie,pop,
The Hills,The Weeknd,canadian contemporary r&b,
Love Yourself,Justin Bieber,pop,
Cake By The Ocean,DNCE,pop,
Don't Let Me Down,The Chainsmokers,pop,
In the Name of Love,Martin Garrix,big room,
Into You,Ariana Grande,pop,
This Is What You Came For,Calvin Harris,pop,
Million Reasons,Lady Gaga,pop,
Needed Me,Rihanna,pop,
7 Years,Lukas Graham,pop,
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,pop,
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,pop,
Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,pop,
Work,Rihanna,pop,
Stitches,Shawn Mendes,pop,
"Me, Myself & I",G-Eazy,hip hop,
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,pop,
Dangerous Woman,Ariana Grande,pop,
Starving,Hailee Steinfeld,pop,
Shout Out to My Ex,Little Mix,pop,
Electric Love,BØRNS,pop,
Confident,Demi Lovato,pop,
Too Good,Drake,hip hop,
Roses,The Chainsmokers,pop,
Cold Water (feat. Justin Bieber & MØ),Major Lazer,pop,
Me Too,Meghan Trainor,pop,
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,pop,
Ain't Your Mama,Jennifer Lopez,pop,
Close,Nick Jonas,pop,
Toothbrush,DNCE,pop,
All We Know,The Chainsmokers,pop,
Final Song,MØ,pop,
Company,Justin Bieber,pop,
Hands To Myself,Selena Gomez,pop,
All I Ask,Adele,british soul,
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,pop,
NO,Meghan Trainor,pop,
Kill Em With Kindness,Selena Gomez,pop,
Cool Girl,Tove Lo,pop,
Runnin' (Lose It All),Naughty Boy,tropical house,
Here,Alessia Cara,canadian contemporary r&b,
Perfect Illusion,Lady Gaga,pop,
PILLOWTALK,ZAYN,pop,
Out Of The Woods,Taylor Swift,pop,
Rise,Katy Perry,pop,
Wherever I Go,OneRepublic,pop,
Body Say,Demi Lovato,pop,
Don't Be A Fool,Shawn Mendes,pop,
LIKE I WOULD,ZAYN,pop,
Cheap Thrills,Sia,australian dance,
I Got You,Bebe Rexha,pop,
Run Away With Me,Carly Rae Jepsen,pop,
Cruel (feat. ZAYN),Snakehips,pop,
Send My Love (To Your New Lover),Adele,british soul,
WTF (Where They From),Missy Elliott,pop,
Desire,Years & Years,pop,
When We Were Young,Adele,british soul,
I Know What You Did Last Summer,Shawn Mendes,pop,
Wish That You Were Here - From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture,Florence + The Machine,pop,
Hurts,Emeli Sandé,pop,
Change,Christina Aguilera,pop,
Make Me... (feat. G-Eazy),Britney Spears,pop,
Keeping Your Head Up,Birdy,neo mellow,
True Colors,Zedd,complextro,
Make Me Like You,Gwen Stefani,pop,
Champagne Problems,Nick Jonas,pop,
Blown,DNCE,pop,
Start,John Legend,neo mellow,
Pep Rally,Missy Elliott,pop,
Higher,Carly Rae Jepsen,pop,
Invitation,Britney Spears,pop,
One Call Away (feat. Tyga) - Remix,Charlie Puth,pop,
Beautiful Birds (feat. Birdy),Passenger,pop,
Little Lies,Hilary Duff,pop,
Do You Wanna Come Over?,Britney Spears,pop,
BURNITUP!,Janet Jackson,pop,
Picky - Remix,Joey Montana,latin,
Behind Your Back,Nelly Furtado,other,
Million Years Ago,Adele,british soul,
Shape of You,Ed Sheeran,pop,
Closer,The Chainsmokers,pop,
Starboy,The Weeknd,canadian contemporary r&b,
Treat You Better,Shawn Mendes,pop,
That's What I Like,Bruno Mars,pop,
Let Me Love You,DJ Snake,electronic trap,
I Feel It Coming,The Weeknd,canadian contemporary r&b,
Mercy,Shawn Mendes,pop,
Side To Side,Ariana Grande,pop,
Stay,Zedd,complextro,
It Ain't Me (with Selena Gomez),Kygo,edm,
Malibu,Miley Cyrus,pop,
Something Just Like This,The Chainsmokers,pop,
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,pop,
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,pop,
My Way,Calvin Harris,pop,
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,pop,
Praying,Kesha,pop,
Despacito - Remix,Luis Fonsi,latin,
The Greatest,Sia,australian dance,
There for You,Martin Garrix,big room,
Paris,The Chainsmokers,pop,
Crying in the Club,Camila Cabello,pop,
Mama,Jonas Blue,pop,
Slide (feat. Frank Ocean & Migos),Calvin Harris,pop,
Swish Swish,Katy Perry,pop,
Chained To The Rhythm,Katy Perry,pop,
Cold (feat. Future),Maroon 5,pop,
Love,Lana Del Rey,pop,
Reggaetón Lento (Remix),CNCO,boy band,
All I Ask,Adele,british soul,
First Time,Kygo,edm,
The Cure,Lady Gaga,pop,
"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,
Bodak Yellow,Cardi B,pop,
Rich Love (with Seeb),OneRepublic,pop,
Tired,Alan Walker,other,
Came Here for Love,Sigala,pop,
24K Magic,Bruno Mars,pop,
Strip That Down (feat. Quavo),Liam Payne,pop,
Cut To The Feeling,Carly Rae Jepsen,pop,
OK - Spotify Version,Robin Schulz,pop,
Bon appétit,Katy Perry,pop,
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,pop,
Get Low (with Liam Payne),Zedd,complextro,
Kissing Strangers,DNCE,pop,
Slow Hands,Niall Horan,pop,
Younger Now,Miley Cyrus,pop,
Body Moves,DNCE,pop,
Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,edm,
Angel,Fifth Harmony,pop,
Touch (feat. Kid Ink),Little Mix,pop,
We Don't Talk Anymore - DROELOE Remix,Charlie Puth,pop,
Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo,
No Vacancy (with Sebastián Yatra),OneRepublic,pop,
Rich Boy,Galantis,big room,
Lust for Life (with The Weeknd),Lana Del Rey,pop,
Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,pop,
Influence,Tove Lo,pop,
Remember I Told You,Nick Jonas,pop,
Messin' Around,Pitbull,pop,
Water Under the Bridge,Adele,british soul,
Free Me,Sia,australian dance,
Kissing Strangers - Remix,DNCE,pop,
A L I E N S,Coldplay,permanent wave,
One Kiss (with Dua Lipa),Calvin Harris,pop,
Havana (feat. Young Thug),Camila Cabello,pop,
I Like It,Cardi B,pop,
New Rules,Dua Lipa,pop,
There's Nothing Holdin' Me Back,Shawn Mendes,pop,
no tears left to cry,Ariana Grande,pop,
IDGAF,Dua Lipa,pop,
In My Blood,Shawn Mendes,pop,
Wolves,Selena Gomez,pop,
Dusk Till Dawn - Radio Edit,ZAYN,pop,
Attention,Charlie Puth,pop,
Electricity (with Dua Lipa),Silk City,edm,
Love On The Brain,Rihanna,pop,
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,pop,
Silence,Marshmello,brostep,
Sorry Not Sorry,Demi Lovato,pop,
Shallow - Radio Edit,Lady Gaga,pop,
These Days,Rudimental,pop,
What Lovers Do (feat. SZA),Maroon 5,pop,
Finesse - Remix, feat. Cardi B,Bruno Mars,pop
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,pop,
Bad At Love,Halsey,pop,
Him & I (with Halsey),G-Eazy,hip hop,
Friends (with BloodPop®),Justin Bieber,pop,
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,pop,
My My My!,Troye Sivan,pop,
Capital Letters,Hailee Steinfeld,pop,
Sick Boy,The Chainsmokers,pop,
Tequila,Dan + Shay,other,
Look What You Made Me Do,Taylor Swift,pop,
Youth (feat. Khalid),Shawn Mendes,pop,
Bad Liar,Selena Gomez,pop,
Anywhere,Rita Ora,pop,
Say Something,Justin Timberlake,pop,
Chun-Li,Nicki Minaj,pop,
Sign of the Times,Harry Styles,pop,
Familiar,Liam Payne,pop,
Let Me,ZAYN,pop,
Supernova,Ansel Elgort,pop,
Nervous,Shawn Mendes,pop,
First Time,Kygo,edm,
End Game,Taylor Swift,pop,
Mi Gente (feat. Beyoncé),J Balvin,latin,
Lemon,N.E.R.D,hip hop,
For You (With Rita Ora),Liam Payne,pop,
Want To,Dua Lipa,pop,
What I Need (feat. Kehlani),Hayley Kiyoko,pop,
Wait,Maroon 5,pop,
What About Us,P!nk,pop,
Kissing Strangers,DNCE,pop,
2U (feat. Justin Bieber),David Guetta,pop,
Walk On Water (feat. Beyoncé),Eminem,hip hop,
This Town,Niall Horan,pop,
"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,pop,
MOVE TO MIAMI,Enrique Iglesias,pop,
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo,
Filthy,Justin Timberlake,pop,
Never Be the Same - Radio Edit,Camila Cabello,pop,
Ferrari,Bebe Rexha,pop,
Supplies,Justin Timberlake,pop,
Boom Boom,RedOne,pop,
...Ready For It? - BloodPop® Remix,Taylor Swift,pop,
Drip (feat. Migos),Cardi B,pop,
Tell Me You Love Me - NOTD Remix,Demi Lovato,pop,
Memories,Maroon 5,pop,
Lose You To Love Me,Selena Gomez,pop,
Someone You Loved,Lewis Capaldi,pop,
Señorita,Shawn Mendes,pop,
How Do You Sleep?,Sam Smith,pop,
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,
Trampoline (with ZAYN),SHAED,pop,
Happier,Marshmello,brostep,
Truth Hurts,Lizzo,escape room,
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,
Higher Love,Kygo,edm,
Only Human,Jonas Brothers,boy band,
Beautiful People (feat. Khalid),Ed Sheeran,pop,
Sucker,Jonas Brothers,boy band,
Don't Call Me Up,Mabel,pop,
I Don't Care (with Justin Bieber),Ed Sheeran,pop,
Talk (feat. Disclosure),Khalid,other,
Giant (with Rag'n'Bone Man),Calvin Harris,pop,
Takeaway,The Chainsmokers,pop,
All Around The World (La La La),R3HAB,big room,
Girls Like You (feat. Cardi B),Maroon 5,pop,
Call You Mine,The Chainsmokers,pop,
No Guidance (feat. Drake),Chris Brown,pop,
Antisocial (with Travis Scott),Ed Sheeran,pop,
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,
Con Calma - Remix,Daddy Yankee,latin,
Find U Again (feat. Camila Cabello),Mark Ronson,pop,
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,pop,
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,pop,
Kills You Slowly,The Chainsmokers,pop,
